id,age
NDARINVLBJ8E0XH_2YearFollowUpYArm1,153
NDARINVLK2RXTA3_baselineYear1Arm1,118
NDARINVY4N8T5CF_baselineYear1Arm1,109
NDARINVY64B3MUG_baselineYear1Arm1,113
NDARINVYKVPYY2M_baselineYear1Arm1,114
NDARINVZUN3P64X_baselineYear1Arm1,128
NDARINVZYB94X1J_2YearFollowUpYArm1,132
NDARINVUD7Z98E5_baselineYear1Arm1,111
NDARINVXKKY9HK5_baselineYear1Arm1,108
NDARINVXRBWGD7W_2YearFollowUpYArm1,154
NDARINVVCXM5YTD_baselineYear1Arm1,112
NDARINVWTKVCTWB_baselineYear1Arm1,122
NDARINVR7G6JDFU_baselineYear1Arm1,110
NDARINVRFT4NJA8_baselineYear1Arm1,114
NDARINVT2JJ42KE_2YearFollowUpYArm1,139
NDARINVTNE22YA5_baselineYear1Arm1,129
NDARINVLBJ8E0XH_baselineYear1Arm1,131
NDARINVPMV3Y0GW_baselineYear1Arm1,108
NDARINVN6E9XK0R_2YearFollowUpYArm1,132
NDARINVKGRR3WRJ_2YearFollowUpYArm1,147
NDARINVL96K1YR0_baselineYear1Arm1,119
NDARINVYKVPYY2M_2YearFollowUpYArm1,140
NDARINVZ174YN3F_baselineYear1Arm1,126
NDARINVZ1B2P1NH_baselineYear1Arm1,116
NDARINVZ9CR6U8L_baselineYear1Arm1,117
NDARINVZA2HPC0L_baselineYear1Arm1,108
NDARINVXP75417U_baselineYear1Arm1,127
NDARINVXRBWGD7W_baselineYear1Arm1,131
NDARINVVR3KXTRE_baselineYear1Arm1,109
NDARINVW03T0R3Y_2YearFollowUpYArm1,142
NDARINVW03T0R3Y_baselineYear1Arm1,118
NDARINVWE1Z3L3H_baselineYear1Arm1,116
NDARINVWTKVCTWB_2YearFollowUpYArm1,145
NDARINVRFT4NJA8_2YearFollowUpYArm1,136
NDARINVT2GU26AW_baselineYear1Arm1,122
NDARINVTDXY0L82_2YearFollowUpYArm1,134
NDARINVTNE22YA5_2YearFollowUpYArm1,150
NDARINVUC80Z0WM_2YearFollowUpYArm1,144
NDARINVUD7Z98E5_2YearFollowUpYArm1,133
NDARINVULRUN522_baselineYear1Arm1,118
NDARINVUN26G8WH_baselineYear1Arm1,119
NDARINVLRAEA45M_baselineYear1Arm1,123
NDARINVPZDDVLGW_baselineYear1Arm1,122
NDARINVPZJNUUC8_baselineYear1Arm1,127
NDARINVN5HX249Z_baselineYear1Arm1,116
NDARINVNP03A4NN_baselineYear1Arm1,117
NDARINVNPDJ80MX_2YearFollowUpYArm1,143
NDARINVHPA364MF_baselineYear1Arm1,118
NDARINVJ2A3JCGK_2YearFollowUpYArm1,144
NDARINVJWAPD83W_2YearFollowUpYArm1,132
NDARINVKF0KH7ZK_baselineYear1Arm1,126
NDARINVKZATK2HZ_baselineYear1Arm1,132
NDARINVLVLHRL2N_baselineYear1Arm1,119
NDARINVMLU3DJN0_baselineYear1Arm1,108
NDARINVYC395FB1_baselineYear1Arm1,112
NDARINVYC5NU1KR_2YearFollowUpYArm1,157
NDARINVZ9CR6U8L_2YearFollowUpYArm1,140
NDARINVZRBMFHKB_baselineYear1Arm1,121
NDARINVZRR4D9LW_baselineYear1Arm1,124
NDARINVZTN5R70A_baselineYear1Arm1,108
NDARINVXRF1JDV6_2YearFollowUpYArm1,148
NDARINVXRF1JDV6_baselineYear1Arm1,125
NDARINVWE1Z3L3H_2YearFollowUpYArm1,140
NDARINVR7G6JDFU_2YearFollowUpYArm1,132
NDARINVTAMN62RZ_baselineYear1Arm1,113
NDARINVU2MZM32T_baselineYear1Arm1,111
NDARINVV0032JDG_baselineYear1Arm1,130
NDARINVV104HFJY_baselineYear1Arm1,129
NDARINVLZF5ZK83_2YearFollowUpYArm1,144
NDARINVPPL151XE_baselineYear1Arm1,113
NDARINVPXNFBFY9_baselineYear1Arm1,118
NDARINVJ08VKMX2_baselineYear1Arm1,128
NDARINVJGY9JJPW_2YearFollowUpYArm1,152
NDARINVJVAW0ZW5_baselineYear1Arm1,123
NDARINVK4M96FKA_baselineYear1Arm1,115
NDARINVKP83AWJ8_baselineYear1Arm1,111
NDARINVKY6C0Z8R_baselineYear1Arm1,108
NDARINVL7G860LK_baselineYear1Arm1,125
NDARINVLK2RXTA3_2YearFollowUpYArm1,141
NDARINVM6VG3Z7Y_baselineYear1Arm1,109
NDARINVM8HMUPN5_2YearFollowUpYArm1,141
NDARINVYKPWRXF2_baselineYear1Arm1,109
NDARINVZ0TL0G08_baselineYear1Arm1,121
NDARINVZ174YN3F_2YearFollowUpYArm1,149
NDARINVZ96PL9LM_baselineYear1Arm1,117
NDARINVVCXM5YTD_2YearFollowUpYArm1,135
NDARINVR6YF8VHD_baselineYear1Arm1,125
NDARINVRFJLGX8M_baselineYear1Arm1,117
NDARINVRRFZW203_baselineYear1Arm1,120
NDARINVT2GU26AW_2YearFollowUpYArm1,144
NDARINVTAMN62RZ_2YearFollowUpYArm1,134
NDARINVTLPXTJW8_baselineYear1Arm1,123
NDARINVU2MZM32T_2YearFollowUpYArm1,134
NDARINVUXWUN73X_baselineYear1Arm1,127
NDARINVVB6ATF8B_baselineYear1Arm1,123
NDARINVM8HMUPN5_baselineYear1Arm1,115
NDARINVR547JUTN_2YearFollowUpYArm1,147
NDARINVHJX5CM4N_baselineYear1Arm1,117
NDARINVJE33Y96D_baselineYear1Arm1,128
NDARINVKD48JEDP_baselineYear1Arm1,108
NDARINVL7G860LK_2YearFollowUpYArm1,148
NDARINVLHZWGFNU_baselineYear1Arm1,127
NDARINVLUG7X89E_baselineYear1Arm1,108
NDARINVN2HBFMWK_baselineYear1Arm1,123
NDARINVN5HX249Z_2YearFollowUpYArm1,139
NDARINVNNC4ZB88_baselineYear1Arm1,125
NDARINVYC395FB1_2YearFollowUpYArm1,134
NDARINVZRBMFHKB_2YearFollowUpYArm1,144
NDARINVVPNP73C4_baselineYear1Arm1,127
NDARINVWMTTWY8K_baselineYear1Arm1,109
NDARINVRRFZW203_2YearFollowUpYArm1,141
NDARINVT1XD5N8A_baselineYear1Arm1,124
NDARINVTL570LHZ_baselineYear1Arm1,123
NDARINVUJ1389BN_baselineYear1Arm1,131
NDARINVV9Z7KCBE_baselineYear1Arm1,130
NDARINVVPBZABW8_baselineYear1Arm1,113
NDARINVVY8RD656_baselineYear1Arm1,114
NDARINVMTG7H8NA_baselineYear1Arm1,124
NDARINVHJX5CM4N_2YearFollowUpYArm1,142
NDARINVHXY3TJAT_baselineYear1Arm1,131
NDARINVKD48JEDP_2YearFollowUpYArm1,130
NDARINVKP83AWJ8_2YearFollowUpYArm1,135
NDARINVLUG7X89E_2YearFollowUpYArm1,130
NDARINVMLU3DJN0_2YearFollowUpYArm1,129
NDARINVYKPWRXF2_2YearFollowUpYArm1,134
NDARINVZ0M0689M_baselineYear1Arm1,119
NDARINVZ96PL9LM_2YearFollowUpYArm1,139
NDARINVZP45TZD9_baselineYear1Arm1,127
NDARINVRPYKZRFL_baselineYear1Arm1,117
NDARINVT83EVU05_baselineYear1Arm1,117
NDARINVTYTK28UK_baselineYear1Arm1,108
NDARINVTYZ21CK1_baselineYear1Arm1,130
NDARINVUAHG246H_2YearFollowUpYArm1,143
NDARINVUJ1389BN_2YearFollowUpYArm1,156
NDARINVVLZ1FB8Y_baselineYear1Arm1,112
NDARINVVY8RD656_2YearFollowUpYArm1,137
NDARINVW5LV1C4M_baselineYear1Arm1,115
NDARINVWDV4WJ1V_baselineYear1Arm1,112
NDARINVR3CBHF7B_2YearFollowUpYArm1,153
NDARINVHXY3TJAT_2YearFollowUpYArm1,155
NDARINVJ9WR9HD8_baselineYear1Arm1,125
NDARINVJUK1TMPK_baselineYear1Arm1,110
NDARINVJVAW0ZW5_2YearFollowUpYArm1,146
NDARINVK2KR1DUA_baselineYear1Arm1,114
NDARINVKC7ZC9VX_baselineYear1Arm1,112
NDARINVKNMWKW2X_baselineYear1Arm1,118
NDARINVKY6C0Z8R_2YearFollowUpYArm1,131
NDARINVLTFB8A3W_baselineYear1Arm1,110
NDARINVM6LR22KX_baselineYear1Arm1,119
NDARINVWMTTWY8K_2YearFollowUpYArm1,132
NDARINVXYKEDFRU_2YearFollowUpYArm1,134
NDARINVR6YF8VHD_2YearFollowUpYArm1,147
NDARINVRE3H89UH_baselineYear1Arm1,120
NDARINVRFJLGX8M_2YearFollowUpYArm1,145
NDARINVT7KRTJPP_baselineYear1Arm1,111
NDARINVTL3FVU14_baselineYear1Arm1,130
NDARINVUXWUN73X_2YearFollowUpYArm1,153
NDARINVVX7ZG792_baselineYear1Arm1,131
NDARINVWJF0H153_baselineYear1Arm1,116
NDARINVNNNX0496_baselineYear1Arm1,129
NDARINVP5B2AW86_2YearFollowUpYArm1,145
NDARINVJ9GNXGK5_2YearFollowUpYArm1,130
NDARINVL6J5NEVL_baselineYear1Arm1,128
NDARINVLHZWGFNU_2YearFollowUpYArm1,149
NDARINVN2HBFMWK_2YearFollowUpYArm1,147
NDARINVNDCR1NEX_baselineYear1Arm1,131
NDARINVNGJJTJJD_baselineYear1Arm1,112
NDARINVNVY8KZHN_baselineYear1Arm1,130
NDARINVP3B4C2JE_baselineYear1Arm1,122
NDARINVHX5PF696_2YearFollowUpYArm1,153
NDARINVZ8JVVCW2_baselineYear1Arm1,125
NDARINVZP45TZD9_2YearFollowUpYArm1,148
NDARINVXAF2R3YX_baselineYear1Arm1,128
NDARINVY0K5P3XF_baselineYear1Arm1,118
NDARINVRPYKZRFL_2YearFollowUpYArm1,139
NDARINVT0JW7H6Z_baselineYear1Arm1,111
NDARINVT1XD5N8A_2YearFollowUpYArm1,145
NDARINVTKF4EW4A_baselineYear1Arm1,110
NDARINVU9C9ZMKM_baselineYear1Arm1,111
NDARINVU9MU0V55_baselineYear1Arm1,112
NDARINVUH77PVBN_2YearFollowUpYArm1,146
NDARINVUH77PVBN_baselineYear1Arm1,123
NDARINVURZU1N9V_baselineYear1Arm1,118
NDARINVUTBRXV0G_baselineYear1Arm1,129
NDARINVV9B0R8UM_2YearFollowUpYArm1,150
NDARINVR5KUTX3Y_2YearFollowUpYArm1,153
NDARINVR5KUTX3Y_baselineYear1Arm1,127
NDARINVK2KR1DUA_2YearFollowUpYArm1,137
NDARINVKC7ZC9VX_2YearFollowUpYArm1,136
NDARINVMGXV051X_2YearFollowUpYArm1,139
NDARINVMWCVEXRK_baselineYear1Arm1,131
NDARINVJ7L6EW0J_baselineYear1Arm1,129
NDARINVPBYWZ1LX_baselineYear1Arm1,131
NDARINVXYKEDFRU_baselineYear1Arm1,111
NDARINVY4N8T5CF_2YearFollowUpYArm1,132
NDARINVTH87BND9_baselineYear1Arm1,128
NDARINVTX6DMC9H_baselineYear1Arm1,117
NDARINVV96G6YFB_2YearFollowUpYArm1,155
NDARINVV96G6YFB_baselineYear1Arm1,131
NDARINVVFHZJPYR_baselineYear1Arm1,108
NDARINVVLPZ13ZY_baselineYear1Arm1,125
NDARINVVX7ZG792_2YearFollowUpYArm1,153
NDARINVW5LV1C4M_2YearFollowUpYArm1,137
NDARINVWJF0H153_2YearFollowUpYArm1,138
NDARINVXA2PZMMC_baselineYear1Arm1,108
NDARINVHX5PF696_baselineYear1Arm1,130
NDARINVR3CBHF7B_baselineYear1Arm1,131
NDARINVK1YTJYND_baselineYear1Arm1,111
NDARINVKK5BJGB6_baselineYear1Arm1,127
NDARINVLTFB8A3W_2YearFollowUpYArm1,133
NDARINVM5FT83M6_baselineYear1Arm1,114
NDARINVM6LR22KX_2YearFollowUpYArm1,143
NDARINVJ5VHD38X_baselineYear1Arm1,126
NDARINVJN2G8BWG_baselineYear1Arm1,119
NDARINVXV9T20V8_baselineYear1Arm1,129
NDARINVDWGT6R32_baselineYear1Arm1,130
NDARINVE6KKE4TT_baselineYear1Arm1,125
NDARINVYFEYLAJN_baselineYear1Arm1,121
NDARINVEBMR55XD_baselineYear1Arm1,124
NDARINVCL50XAPB_baselineYear1Arm1,121
NDARINVX79EETRL_2YearFollowUpYArm1,143
NDARINVW6NBATCW_2YearFollowUpYArm1,152
NDARINVC4XAJGAN_baselineYear1Arm1,125
NDARINVWGARRD3J_baselineYear1Arm1,116
NDARINVCE16DXG2_2YearFollowUpYArm1,141
NDARINVUHT34WP1_baselineYear1Arm1,114
NDARINV93D98KMC_2YearFollowUpYArm1,131
NDARINV99KTC3NN_2YearFollowUpYArm1,138
NDARINVUVKK59DF_2YearFollowUpYArm1,143
NDARINV9TZYNDC7_baselineYear1Arm1,126
NDARINVV4KUL4N2_baselineYear1Arm1,127
NDARINVAER4MX1D_baselineYear1Arm1,128
NDARINVTY7NL56R_baselineYear1Arm1,115
NDARINVU5DCN232_baselineYear1Arm1,121
NDARINV7B7LHAU0_baselineYear1Arm1,120
NDARINVTBTBAM4J_2YearFollowUpYArm1,146
NDARINVTFBZR8TN_baselineYear1Arm1,130
NDARINVTFUH55TZ_2YearFollowUpYArm1,131
NDARINV4PKFHBXH_2YearFollowUpYArm1,155
NDARINV4WA9A9A5_baselineYear1Arm1,118
NDARINVP4RP5HAP_baselineYear1Arm1,122
NDARINV53CVF7NB_2YearFollowUpYArm1,138
NDARINVPFLP04U0_baselineYear1Arm1,121
NDARINVRAR30NKY_baselineYear1Arm1,126
NDARINV6NU2WWNR_2YearFollowUpYArm1,150
NDARINVRLV2KEJP_baselineYear1Arm1,126
NDARINVRRE6MVYZ_baselineYear1Arm1,115
NDARINVMZKNKER7_baselineYear1Arm1,125
NDARINVNJGJ5FRB_baselineYear1Arm1,131
NDARINVNJRMP62L_baselineYear1Arm1,121
NDARINV3YYCAC9G_baselineYear1Arm1,115
NDARINV1H7JEJW1_2YearFollowUpYArm1,136
NDARINVLL0J4VDZ_baselineYear1Arm1,113
NDARINV2E5NFGXW_baselineYear1Arm1,126
NDARINV2XAHZZ2A_2YearFollowUpYArm1,149
NDARINVMWH0MZFX_2YearFollowUpYArm1,155
NDARINVMY1X0RAH_2YearFollowUpYArm1,152
NDARINVXH5MJUMZ_baselineYear1Arm1,120
NDARINVDAYP39E1_baselineYear1Arm1,131
NDARINVDWGT6R32_2YearFollowUpYArm1,153
NDARINVXZ627WWU_2YearFollowUpYArm1,138
NDARINVEBMR55XD_2YearFollowUpYArm1,146
NDARINVERTEM0DZ_2YearFollowUpYArm1,138
NDARINVVZR097LZ_2YearFollowUpYArm1,147
NDARINVX5384ZU4_baselineYear1Arm1,116
NDARINVBTA2BMZ6_baselineYear1Arm1,114
NDARINVWVWWBTF1_2YearFollowUpYArm1,135
NDARINV8DM1YJAA_2YearFollowUpYArm1,138
NDARINVUHT34WP1_2YearFollowUpYArm1,138
NDARINV8RNZXR25_2YearFollowUpYArm1,132
NDARINV925PNR1C_baselineYear1Arm1,130
NDARINVUVB66Y7Z_baselineYear1Arm1,123
NDARINV9M8UXK0A_baselineYear1Arm1,109
NDARINVUZ89A2LM_baselineYear1Arm1,120
NDARINV9T11JN9J_baselineYear1Arm1,120
NDARINVV7KNVTFG_baselineYear1Arm1,113
NDARINVVHUHUPY6_2YearFollowUpYArm1,137
NDARINVAWMVEC49_baselineYear1Arm1,125
